time,open,high,low,close,HTF EMA,HTF EMA,S2 SHORT,S2 LONG,S2 SHORT (blocked),S2 LONG (blocked),HTF EMA
1766048100,25781.05,25790.4,25779.25,25789.55,25847.716306277332,25847.716306277332,0,0,0,0,25847.716306277332
1766048400,25794.25,25833.95,25789.3,25808.9,25846.050960933124,25846.050960933124,0,0,0,0,25846.050960933124
1766048700,25810.1,25810.1,25790.1,25792.25,25844.45092324947,25844.45092324947,0,0,0,0,25844.45092324947
1766049000,25792,25798,25781.65,25792.55,25842.913632141648,25842.913632141648,0,0,0,0,25842.913632141648
1766049300,25792.5,25802.4,25790.25,25794.65,25841.43662695962,25841.43662695962,0,0,0,0,25841.43662695962
1766049600,25795.5,25797.65,25770.85,25789.65,25840.01754354944,25840.01754354944,0,0,0,0,25840.01754354944
1766049900,25790.3,25806.6,25784.35,25786.05,25838.65411046907,25838.65411046907,0,0,0,0,25838.65411046907
1766050200,25786.35,25825.3,25786.35,25823.65,25837.344145352636,25837.344145352636,0,0,0,0,25837.344145352636
1766050500,25824.6,25829.75,25807.25,25815.7,25836.08555141724,25836.08555141724,0,0,0,0,25836.08555141724
1766050800,25818.4,25825.2,25813.5,25820.4,25835.47043175382,25835.47043175382,0,0,0,0,25835.47043175382
1766051100,25821.25,25821.25,25810.3,25818.45,25834.879434430142,25834.879434430142,0,0,0,0,25834.879434430142
1766051400,25819.4,25820.25,25812.4,25816.55,25834.3116134721,25834.3116134721,0,0,0,0,25834.3116134721
1766051700,25816.7,25826.2,25806.7,25815.65,25833.579785492802,25833.579785492802,0,0,0,0,25833.579785492802
1766115900,25913.35,25939.15,25880.45,25925.1,25832.876656649947,25832.876656649947,0,0,0,0,25832.876656649947
1766116200,25924.1,25946.55,25922.45,25944.3,25832.201101487204,25832.201101487204,0,0,0,0,25832.201101487204
1766116500,25944.9,25950.85,25933.35,25950.3,25831.552038683785,25831.552038683785,0,0,0,0,25831.552038683785
1766116800,25951.3,25968.7,25951.15,25963.5,25830.928429323638,25830.928429323638,0,0,0,0,25830.928429323638
1766117100,25964.1,25968.2,25954.6,25966.75,25830.329275232514,25830.329275232514,0,0,0,0,25830.329275232514
1766117400,25967.1,25967.6,25955.8,25956.4,25829.75361738026,25829.75361738026,0,0,0,0,25829.75361738026
1766117700,25956.45,25970.4,25941.3,25943.85,25829.20053434574,25829.20053434574,0,0,0,0,25829.20053434574
1766118000,25942.7,25954.9,25939.95,25953.55,25828.669140841983,25828.669140841983,0,0,0,0,25828.669140841983
1766118300,25955.1,25960.6,25947,25958.85,25828.15858629916,25828.15858629916,0,0,0,0,25828.15858629916
1766118600,25957.7,25966.55,25955.6,25957.7,25827.668053503116,25827.668053503116,0,0,0,0,25827.668053503116
1766118900,25957.6,25957.85,25929.05,25951.55,25827.196757287307,25827.196757287307,0,0,0,0,25827.196757287307
1766119200,25951.1,25953.25,25931.95,25935.6,25831.447864844667,25831.447864844667,0,0,0,0,25831.447864844667
1766119500,25935.45,25948.5,25931.35,25946.7,25835.53226230174,25835.53226230174,0,0,0,0,25835.53226230174
1766119800,25946.6,25950.95,25940.85,25949.6,25839.45648730951,25839.45648730951,0,0,0,0,25839.45648730951
1766120100,25948.75,25965.55,25946.2,25959.9,25843.22682114051,25843.22682114051,0,0,0,0,25843.22682114051
1766120400,25959.8,25962.45,25953.2,25955.3,25846.849298742844,25846.849298742844,0,0,0,0,25846.849298742844
1766120700,25956.75,25963.3,25954.35,25962.75,25850.329718399986,25850.329718399986,0,0,0,0,25850.329718399986
1766121000,25962.25,25977.7,25958.75,25974.85,25853.67365101175,25853.67365101175,0,0,0,0,25853.67365101175
1766121300,25975.35,25978.1,25964,25967.05,25856.88644901129,25856.88644901129,0,0,0,0,25856.88644901129
1766121600,25965.95,25979.25,25965.6,25972.1,25859.973254932414,25859.973254932414,0,0,0,0,25859.973254932414
1766121900,25971.35,25975.35,25960.6,25962.4,25862.939009640948,25862.939009640948,0,0,0,0,25862.939009640948
1766122200,25961.85,25968.55,25948.8,25951.05,25865.788460243264,25865.788460243264,0,0,0,0,25865.788460243264
1766122500,25950.7,25953.45,25939.85,25946.75,25868.526167684704,25868.526167684704,0,0,0,0,25868.526167684704
1766122800,25947.95,25954.75,25946.95,25954.75,25871.907494442166,25871.907494442166,0,0,0,0,25871.907494442166
1766123100,25953.5,25959.1,25948,25952.8,25875.15622015032,25875.15622015032,0,0,0,0,25875.15622015032
1766123400,25952.55,25960.4,25946.6,25946.7,25878.277544850305,25878.277544850305,0,0,0,0,25878.277544850305
1766123700,25947.4,25949.7,25930.3,25931.55,25881.2764646601,25881.2764646601,0,0,0,0,25881.2764646601
1766124000,25932.1,25934.25,25926.3,25929.75,25884.157779771467,25884.157779771467,0,0,0,0,25884.157779771467
1766124300,25929.8,25938.85,25926.5,25934.4,25886.92610213337,25886.92610213337,0,0,0,0,25886.92610213337
1766124600,25935.15,25936.1,25913.4,25913.4,25889.58586283402,25889.58586283402,0,0,0,0,25889.58586283402
1766124900,25914.8,25922.1,25905.6,25917.2,25892.14131919347,25892.14131919347,0,0,0,0,25892.14131919347
1766125200,25917.55,25927.85,25915.35,25921.35,25894.59656157804,25894.59656157804,0,0,0,0,25894.59656157804
1766125500,25921.25,25926.7,25907.75,25916.7,25896.95551994753,25896.95551994753,0,0,0,0,25896.95551994753
1766125800,25916.25,25942.6,25915.65,25934.55,25899.221970145663,25899.221970145663,0,0,0,0,25899.221970145663
1766126100,25934.95,25955.7,25932.3,25951.05,25901.39953994387,25901.39953994387,0,0,0,0,25901.39953994387
1766126400,25951.4,25953.2,25939.75,25943.95,25903.06818543627,25903.06818543627,0,0,0,0,25903.06818543627
1766126700,25944.55,25950.6,25937.35,25937.9,25904.671393850535,25904.671393850535,0,0,0,0,25904.671393850535
1766127000,25937.45,25944.55,25930.5,25932.3,25906.211731346593,25906.211731346593,0,0,0,0,25906.211731346593
1766127300,25933,25945.4,25929.55,25935.7,25907.69166345065,25907.69166345065,0,0,0,0,25907.69166345065
1766127600,25936.4,25953.15,25933.6,25951.55,25909.113559001602,25909.113559001602,0,0,0,0,25909.113559001602
1766127900,25951.75,25959.65,25949.2,25959.65,25910.479693942714,25910.479693942714,0,0,0,0,25910.479693942714
1766128200,25959.55,25962.4,25952.25,25953.65,25911.79225496457,25911.79225496457,0,0,0,0,25911.79225496457
1766128500,25954.1,25959.3,25948.65,25951.35,25913.053343005176,25913.053343005176,0,0,0,0,25913.053343005176
1766128800,25951.15,25955.45,25946,25948.65,25914.264976612816,25914.264976612816,0,0,0,0,25914.264976612816
1766129100,25948.2,25956.65,25946.05,25952.85,25915.42909517702,25915.42909517702,0,0,0,0,25915.42909517702
1766129400,25951.2,25955.2,25948.2,25952,25916.54756203282,25916.54756203282,0,0,0,0,25916.54756203282
1766129700,25951.35,25955,25937.5,25940.7,25917.6221674433,25917.6221674433,0,0,0,0,25917.6221674433
1766130000,25940.8,25945.35,25920.8,25930.2,25918.115415778855,25918.115415778855,0,0,0,0,25918.115415778855
1766130300,25930.3,25956.65,25926.8,25954.65,25918.58932104243,25918.58932104243,0,0,0,0,25918.58932104243
1766130600,25955.3,25962.3,25950.15,25957.3,25919.044641785862,25919.044641785862,0,0,0,0,25919.044641785862
1766130900,25956.55,25960.2,25948.35,25956.2,25919.482106813866,25919.482106813866,0,0,0,0,25919.482106813866
1766131200,25956.1,25973.6,25956.1,25967.9,25919.90241635058,25919.90241635058,0,0,0,0,25919.90241635058
1766131500,25968.3,25977.05,25965.1,25969.6,25920.30624316036,25920.30624316036,0,0,0,0,25920.30624316036
1766131800,25970.2,25978.35,25966.8,25977.65,25920.69423362466,25920.69423362466,0,0,0,0,25920.69423362466
1766132100,25976.6,25985.2,25973.7,25977.15,25921.067008776634,25921.067008776634,0,0,0,0,25921.067008776634
1766132400,25976.65,25981.95,25972.4,25973.25,25921.425165295197,25921.425165295197,0,0,0,0,25921.425165295197
1766132700,25974.4,25979.25,25970.1,25975.85,25921.76927646009,25921.76927646009,0,0,0,0,25921.76927646009
1766133000,25977.65,25983.85,25963.8,25968.95,25922.0998930695,25922.0998930695,0,0,0,0,25922.0998930695
1766133300,25969.85,25973.5,25961.3,25967.25,25922.417544321674,25922.417544321674,0,0,0,0,25922.417544321674
1766133600,25968.8,25975.45,25964.05,25967.5,25924.18548376004,25924.18548376004,0,0,0,0,25924.18548376004
1766133900,25967.95,25979,25965.85,25978.35,25925.884092240038,25925.884092240038,0,0,0,0,25925.884092240038
1766134200,25978.4,25991.15,25976.05,25989.05,25927.516088622782,25927.516088622782,0,0,0,0,25927.516088622782
1766134500,25989,25993.35,25969.65,25971.05,25929.08408514738,25929.08408514738,0,0,0,0,25929.08408514738
1766134800,25971.35,25977.65,25966.6,25967.5,25930.59059161219,25930.59059161219,0,0,0,0,25930.59059161219
1766135100,25967.75,25977.2,25963.55,25974.75,25932.0380193921,25932.0380193921,0,0,0,0,25932.0380193921
1766135400,25975,25976.75,25968.45,25974.2,25933.42868529829,25933.42868529829,0,0,0,0,25933.42868529829
1766135700,25973.95,25983.05,25971.2,25979.35,25934.764815286595,25934.764815286595,0,0,0,0,25934.764815286595
1766136000,25977.4,25979,25963.45,25964.7,25936.048548020455,25936.048548020455,0,0,0,0,25936.048548020455
1766136300,25965.25,25970.3,25958.75,25958.75,25937.281938294163,25937.281938294163,0,0,0,0,25937.281938294163
1766136600,25959.5,25965.55,25945.45,25964.75,25938.466960321843,25938.466960321843,0,0,0,0,25938.466960321843
1766136900,25963.75,25973.6,25961.8,25971.85,25939.605510897458,25939.605510897458,0,0,0,0,25939.605510897458
1766137200,25971.7,25973.2,25964.05,25969.85,25940.791569293637,25940.791569293637,0,0,0,0,25940.791569293637
1766137500,25968.5,25972.25,25964.2,25970.35,25941.931115595846,25941.931115595846,0,0,0,0,25941.931115595846
1766137800,25970.6,25974.25,25967.15,25970.15,25943.025973807773,25943.025973807773,0,0,0,0,25943.025973807773
1766138100,25969.9,25973.2,25955.6,25961.4,25943.746523854526,25943.746523854526,0,0,0,0,25943.746523854526
1766375100,26080.65,26103.8,26047.8,26093.9,25944.438817036702,25944.438817036702,0,0,0,0,25944.438817036702
