time,open,high,low,close,HTF MA,HTF EMA
1732514400,2664.81,2675.25,2661.75,2673.945,2685.857350502364,2659.593175648271
1732528800,2673.94,2688.83,2668.855,2678.33,2684.711593359179,2660.8020030258017
1732543200,2678.385,2678.77,2624.44,2627.925,2672.397938566284,2658.680906056395
1732557600,2627.94,2628.83,2615.67,2625.62,2661.1375942150744,2656.5479443753375
1732572000,2627.485,2632.225,2605.31,2628.25,2653.6738590618456,2654.7222705446707
1732586400,2628.255,2631.565,2617.905,2624.455,2647.349670501397,2652.7695434127563
1732600800,2624.44,2627.245,2610.86,2626.065,2640.719994923666,2651.0466696441913
1732615200,2626.08,2642.02,2624.055,2629.94,2638.5330386310707,2649.6849490219856
1732629600,2629.95,2633.94,2616.775,2625.005,2635.7310347420603,2648.092694246374
1732644000,2624.99,2633.6,2619.655,2632.955,2634.238100436697,2647.116068811124
1732658400,2631.21,2634.21,2627.125,2631.44,2633.562110085281,2646.104709532987
1732672800,2631.4,2645.81,2631.185,2642.09,2634.904344084463,2645.8456960147296
1732687200,2642.15,2653.975,2639.075,2648.485,2638.250877823464,2646.0159736911987
1732701600,2648.47,2658.275,2643.075,2656.355,2641.48523137845,2646.6830076466053
1732716000,2656.345,2656.935,2635.345,2637.325,2641.6704964852793,2646.079265217792
1732730400,2637.31,2640.84,2633.78,2636.09,2640.503561429144,2645.4347964940634
1732744800,2637.98,2638.53,2620.99,2628.89,2639.280514910389,2644.36739026864
1732759200,2628.905,2634.11,2625.695,2633.485,2637.3423636347575,2643.665300573889
1732773600,2633.515,2648.03,2631.92,2646.245,2638.3104507574326,2643.8317327949285
1732788000,2646.22,2649.735,2642.85,2647.09,2640.3246304330573,2644.0419435823524
1732802400,2647.11,2647.985,2636.36,2641.02,2640.414667156809,2643.846979480265
1732816800,2640.99,2641.48,2637.44,2637.6,2640.206841913503,2643.4439485460543
1732834800,2639.285,2662.785,2634.09,2657.525,2641.3071733457327,2644.352403478567
1732849200,2657.495,2666.35,2654.87,2665.315,2646.178010333434,2645.704829060595
1732863600,2665.31,2665.93,2654.59,2662.875,2649.7377742862823,2646.8125820244277
1732878000,2662.875,2665.02,2651.985,2653.54,2651.5900311795576,2647.246608990594
1732892400,2653.51,2662.325,2650.63,2652.78,2653.208466134185,2647.603601958943
1732906800,2652.69,2653.15,2648.735,2650.35,2653.024048964238,2647.7807889293335
1733090400,2648.94,2650.36,2622.99,2635.96,2650.590009069477,2647.0181573855057
1733104800,2635.95,2638.115,2621.98,2623.255,2645.0481569283957,2645.4850504574088
1733119200,2623.23,2636.9,2621.99,2633.705,2641.526733361204,2644.725047202092
1733133600,2633.69,2648.865,2633.395,2647.1,2641.584430617653,2644.8782699632475
1733148000,2647.055,2651.905,2637.44,2638.885,2641.666568807514,2644.4916073849736
1733162400,2638.9,2644.29,2633.595,2638.955,2640.7522702166457,2644.1344069085235
1733176800,2638.96,2645.32,2634.165,2636.61,2640.598528693692,2643.648961301522
1733191200,2636.615,2643.045,2634.54,2641.28,2640.4149236487347,2643.4961250885203
1733205600,2641.335,2650.165,2639.305,2644.035,2641.521089020391,2643.5308912118417
1733220000,2644.045,2653.83,2637.79,2652.965,2642.3547025930443,2644.139543391723
1733234400,2652.97,2655.665,2635.23,2647.11,2643.155048628792,2644.3311857535473
1733248800,2647.07,2649.225,2640.265,2643.885,2643.1612652004887,2644.302399575899
1733263200,2642.66,2643.625,2637.75,2642.285,2642.9322351372807,2644.1722447645507
1733277600,2642.205,2651.26,2641.995,2649.8,2643.9615162190476,2644.535325747483
1733292000,2649.82,2651.45,2636.735,2640.975,2643.7584902919634,2644.3056273121615
1733306400,2640.995,2649.24,2632.465,2648.52,2643.846560470406,2644.57752232428
1733320800,2648.51,2657.235,2645.15,2651.51,2645.6234316556624,2645.0247789485197
1733335200,2651.54,2655.565,2646.875,2650.22,2646.7198400305447,2645.359954500228
1733349600,2649.36,2651.625,2646.335,2647.095,2647.057620036419,2645.4718929195683
1733364000,2647.045,2655.635,2644.735,2653.14,2647.490019541492,2645.9666095054026
1733378400,2653.075,2654.12,2641.945,2644.905,2647.1155929332695,2645.89811856957
1733392800,2644.895,2654.555,2644.335,2648.98,2647.952283971275,2646.096949629598
1733407200,2648.985,2650.315,2623.755,2628.065,2645.067568944818,2644.9335980405917
1733421600,2628.1,2632.535,2623.615,2631.925,2641.7241150129344,2644.0943336508763
1733436000,2631.985,2633.91,2613.11,2617.65,2638.9279463948997,2642.3882476088843
1733450400,2617.71,2644.675,2616.955,2638.035,2638.4704824731984,2642.1073929244403
1733464800,2638.04,2645.73,2636.04,2640.835,2639.0936133711375,2642.0253030583476
1733479200,2640.845,2643.595,2631.32,2635.78,2638.562972870949,2641.6223802803897
1733493600,2635.78,2641.68,2624.13,2634.965,2638.2453865750076,2641.1928718752033
1733508000,2634.975,2639.055,2631.13,2633.33,2637.305787082435,2640.6855898187387
1733695200,2643.08,2650.615,2627.575,2646.78,2637.6978795996615,2641.0787775723684
1733709600,2646.765,2648.68,2634.72,2638.38,2638.1564791608725,2640.90466289028
1733724000,2638.375,2657.53,2638.18,2655.685,2640.977083842578,2641.858233026391
1733738400,2655.695,2666.32,2653.385,2665.56,2645.230459228607,2643.387379282753
1733752800,2665.595,2676.48,2662.74,2664.57,2650.6780491333366,2644.7539999741884
1733767200,2664.615,2664.78,2656.805,2660.325,2652.936767988032,2645.758580621015
1733781600,2661.1,2668.73,2658.035,2667.535,2655.0456545419797,2647.16351090353
1733796000,2667.55,2673.91,2665.52,2668.855,2658.448160161064,2648.5629618129797
1733810400,2668.815,2670.955,2661.245,2665.115,2660.137018829975,2649.6308352444003
1733824800,2665.145,2682.1,2664.475,2680.455,2664.152913377263,2651.619491035084
1733839200,2680.47,2695.595,2679.56,2694.385,2670.428203545327,2654.378556129595
1733853600,2694.36,2695.245,2690.98,2693.875,2675.6120358732965,2656.9267137986535
1733868000,2695.145,2703.78,2693.565,2700.02,2679.873787483261,2659.7069258116435
1733882400,2700.01,2704.445,2675.465,2687.85,2682.5959064763533,2661.522608017344
1733896800,2687.805,2698.105,2686.285,2695.845,2685.1479681225455,2663.7369558871924
1733911200,2695.87,2702.505,2690.765,2701.055,2687.954445986266,2666.1445716364055
1733925600,2701.07,2720.09,2696.65,2718.14,2693.9577436047607,2669.499115401799
1733940000,2718.05,2721.27,2713.35,2718.245,2699.3711198603155,2672.644011182328
1733954400,2717.81,2726.295,2700.81,2711.125,2702.8083700538164,2675.126655622178
1733968800,2711.1,2716.385,2703.78,2713.55,2704.700166428304,2677.6055810659086
1733983200,2713.69,2720.52,2710.225,2714.76,2707.5471627733177,2680.002640351979
1733997600,2714.725,2715.78,2697.435,2697.66,2707.276538458221,2681.1418248453997
1734012000,2697.675,2699.695,2675.165,2686.37,2701.8434033414173,2681.479126468277
1734026400,2686.43,2687.175,2679.42,2680.825,2697.166107656156,2681.4369247606464
1734040800,2680.705,2692.865,2679.055,2690.05,2695.083727287637,2681.992607034153
1734055200,2690.025,2691.4,2684.475,2688.42,2693.361734914233,2682.4072775480786
1734069600,2688.405,2690.635,2667.54,2669.045,2689.928984789597,2681.545195125622
1734084000,2669.05,2673.095,2659.635,2662.27,2684.4632980202628,2680.301634149775
1734098400,2662.325,2664.61,2654.8,2656.365,2678.652814843484,2678.7573351723704
1734112800,2656.365,2657.11,2646.22,2648.68,2672.1342459081216,2676.8168619354433
1734300000,2648.86,2655.74,2643.595,2653.545,2668.269930631841,2675.3154514879952
1734314400,2653.525,2655.77,2649.645,2652.94,2664.684416658873,2673.8718739726405
1734328800,2652.915,2662.12,2651.765,2658.19,2662.677975875919,2672.860140167954
1734343200,2658.185,2664.475,2657.505,2662.215,2662.340053215353,2672.173356931312
1734357600,2662.205,2663.11,2648.63,2652.15,2660.236345625284,2670.8815274518724
1734372000,2652.135,2655.775,2651.415,2652.75,2658.6535084423595,2669.7117514872357
1734386400,2652.26,2658.74,2651.235,2658.21,2658.03286218659,2668.9697030041884
1734400800,2658.205,2658.735,2649.185,2653.805,2656.9798566250183,2667.991335068434
1734415200,2653.835,2657.105,2638.145,2639.74,2654.496981047101,2666.1686682898253
1734429600,2639.725,2646.97,2634.85,2637.12,2651.127618854335,2664.294560658224
1734444000,2637.15,2647.095,2633.16,2646.075,2648.6962502757524,2663.119105131887
1734458400,2646.08,2649.085,2643.075,2646.6,2648.000193922265,2662.053356413701
1734472800,2646.88,2651.785,2644.91,2651.01,2648.2992900396134,2661.3408818063654
1734487200,2651.04,2651.135,2642.815,2647.54,2647.8812945980735,2660.450502334987
1734501600,2647.55,2649.705,2642.17,2646.91,2647.5854266385063,2659.5769215391815
