entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit,layer
2026-01-06 13:50:00+00:00,2026-01-06 15:35:00+00:00,LONG,4464.6,4449.19,4464.6,56.25,BE,True,5M
2026-01-12 16:45:00+00:00,2026-01-12 17:20:00+00:00,LONG,4615.4,4612.51,4612.51,-75.0,SL,False,5M
2026-01-15 08:20:00+00:00,2026-01-15 08:40:00+00:00,SHORT,4602.91,4604.95,4604.95,-18.75,SL,True,5M
2026-01-15 08:45:00+00:00,2026-01-15 08:55:00+00:00,SHORT,4602.98,4604.95,4604.95,-75.0,SL,False,5M
2026-01-16 08:05:00+00:00,2026-01-16 08:10:00+00:00,SHORT,4605.45,4607.62,4607.62,-75.0,SL,False,5M
2026-01-16 11:10:00+00:00,2026-01-16 13:10:00+00:00,LONG,4606.27,4596.18,4596.18,-75.0,SL,False,5M
2026-01-16 14:20:00+00:00,2026-01-16 14:25:00+00:00,SHORT,4601.92,4603.17,4599.42,131.25,T2,True,5M
2026-01-19 12:05:00+00:00,2026-01-19 12:15:00+00:00,LONG,4663.99,4661.32,4669.33,131.25,T2,True,5M
2026-01-21 12:20:00+00:00,2026-01-21 12:25:00+00:00,LONG,4861.39,4860.55,4863.07,131.25,T2,True,5M
2026-01-21 12:50:00+00:00,2026-01-21 12:55:00+00:00,LONG,4861.87,4860.55,4864.51,131.25,T2,True,5M
2026-01-23 09:40:00+00:00,2026-01-23 11:05:00+00:00,LONG,4916.91,4905.68,4916.91,0.0,BE,False,5M
2026-01-29 14:35:00+00:00,2026-01-29 15:00:00+00:00,LONG,5531.39,5486.13,5486.13,-75.0,SL,False,5M
2026-01-30 14:50:00+00:00,2026-01-30 15:15:00+00:00,SHORT,5047.46,5098.89,5047.46,0.0,BE,False,5M
2026-02-03 11:25:00+00:00,2026-02-03 11:30:00+00:00,LONG,4900.46,4889.74,4900.46,0.0,BE,False,5M
2026-02-03 11:55:00+00:00,2026-02-03 14:15:00+00:00,LONG,4916.12,4889.74,4916.12,0.0,BE,False,5M
2026-02-04 10:40:00+00:00,2026-02-04 10:50:00+00:00,LONG,5059.4,5052.11,5052.11,-75.0,SL,False,5M
2026-02-11 13:45:00+00:00,2026-02-11 13:50:00+00:00,LONG,5068.44,5060.07,5060.07,-75.0,SL,False,5M
2026-02-12 08:40:00+00:00,2026-02-12 09:15:00+00:00,LONG,5062.59,5055.89,5075.99,131.25,T2,True,5M
2026-02-13 14:35:00+00:00,2026-02-13 14:40:00+00:00,SHORT,4987.71,4996.73,4969.67,131.25,T2,True,5M
2026-02-16 10:40:00+00:00,2026-02-16 12:15:00+00:00,LONG,5007.95,4995.86,4995.86,-75.0,SL,False,5M
2026-02-17 11:50:00+00:00,2026-02-17 12:15:00+00:00,SHORT,4924.94,4938.77,4938.77,-75.0,SL,False,5M
2026-02-17 12:50:00+00:00,2026-02-17 13:10:00+00:00,SHORT,4932.69,4938.77,4920.53,131.25,T2,True,5M
2026-02-20 12:00:00+00:00,2026-02-20 13:50:00+00:00,LONG,5019.83,5005.84,5047.81,131.25,T2,True,5M
2026-02-23 11:45:00+00:00,2026-02-23 12:25:00+00:00,LONG,5153.66,5145.98,5145.98,-75.0,SL,False,5M
2026-02-23 12:35:00+00:00,2026-02-23 13:25:00+00:00,LONG,5157.63,5145.98,5145.98,-75.0,SL,False,5M
2026-02-23 13:30:00+00:00,2026-02-23 13:55:00+00:00,LONG,5152.89,5145.98,5145.98,-75.0,SL,False,5M
2026-02-24 08:30:00+00:00,2026-02-24 10:35:00+00:00,LONG,5180.63,5164.46,5164.46,-75.0,SL,False,5M
2026-02-24 10:50:00+00:00,2026-02-24 12:15:00+00:00,LONG,5172.24,5164.46,5164.46,-75.0,SL,False,5M
2026-02-25 09:20:00+00:00,2026-02-25 09:25:00+00:00,LONG,5186.45,5187.45,5187.45,-18.75,SL,True,5M
2026-02-25 09:30:00+00:00,2026-02-25 09:35:00+00:00,LONG,5189.03,5187.45,5192.19,131.25,T2,True,5M
2026-03-02 12:00:00+00:00,2026-03-02 12:05:00+00:00,LONG,5386.37,5385.82,5387.47,131.25,T2,True,5M
2026-03-02 12:20:00+00:00,2026-03-02 12:55:00+00:00,LONG,5394.05,5385.82,5385.82,-75.0,SL,False,5M
2026-03-04 08:00:00+00:00,2026-03-04 10:00:00+00:00,SHORT,5157.62,5185.73,5185.73,-75.0,SL,False,5M
2026-03-04 14:35:00+00:00,2026-03-04 17:20:00+00:00,SHORT,5171.81,5197.58,5120.27,131.25,T2,True,5M
2026-03-06 11:00:00+00:00,2026-03-06 11:20:00+00:00,SHORT,5084.46,5096.94,5096.94,-75.0,SL,False,5M
2026-03-06 11:40:00+00:00,2026-03-06 13:30:00+00:00,SHORT,5080.68,5096.94,5096.94,-75.0,SL,False,5M
2026-03-11 09:30:00+00:00,2026-03-11 09:55:00+00:00,LONG,5193.55,5186.51,5186.51,-75.0,SL,False,5M
2026-03-11 10:05:00+00:00,2026-03-11 10:30:00+00:00,LONG,5192.81,5186.51,5186.51,-75.0,SL,False,5M
2026-03-11 13:55:00+00:00,2026-03-11 14:40:00+00:00,LONG,5176.3,5161.84,5176.3,0.0,BE,False,5M
2026-03-16 09:35:00+00:00,2026-03-16 11:10:00+00:00,SHORT,4983.55,5002.9,5002.9,-75.0,SL,False,5M
2026-03-19 15:15:00+00:00,2026-03-19 19:05:00+00:00,SHORT,4608.49,4653.33,4653.33,-75.0,SL,False,5M
2026-03-23 14:50:00+00:00,2026-03-23 15:45:00+00:00,SHORT,4462.85,4491.64,4405.27,131.25,T2,True,5M
2026-03-24 09:05:00+00:00,2026-03-24 09:15:00+00:00,SHORT,4404.01,4411.35,4411.35,-75.0,SL,False,5M
2026-03-24 10:30:00+00:00,2026-03-24 10:55:00+00:00,SHORT,4416.52,4435.72,4435.72,-75.0,SL,False,5M
2026-03-24 11:40:00+00:00,2026-03-24 11:50:00+00:00,SHORT,4421.35,4435.72,4392.61,131.25,T2,True,5M
2026-03-24 12:20:00+00:00,2026-03-24 14:10:00+00:00,SHORT,4400.08,4435.72,4400.08,0.0,BE,False,5M
2026-03-24 17:00:00+00:00,2026-03-24 18:25:00+00:00,SHORT,4407.7,4435.72,4407.7,0.0,BE,False,5M
2026-03-25 08:05:00+00:00,2026-03-25 09:35:00+00:00,LONG,4550.79,4539.79,4550.79,0.0,BE,False,5M
2026-03-26 11:40:00+00:00,2026-03-26 13:45:00+00:00,SHORT,4439.94,4458.67,4458.67,-75.0,SL,False,5M
2026-03-27 13:50:00+00:00,2026-03-27 14:00:00+00:00,SHORT,4425.66,4439.35,4439.35,-75.0,SL,False,5M
2026-04-01 09:20:00+00:00,2026-04-01 09:30:00+00:00,LONG,4720.77,4714.06,4714.06,-75.0,SL,False,5M
2026-04-01 09:45:00+00:00,2026-04-01 11:35:00+00:00,LONG,4726.25,4714.06,4750.63,131.25,T2,True,5M
2026-04-01 12:30:00+00:00,2026-04-01 12:35:00+00:00,LONG,4744.02,4736.31,4736.31,-75.0,SL,False,5M
2026-04-01 12:40:00+00:00,2026-04-01 12:45:00+00:00,LONG,4743.12,4736.31,4736.31,-75.0,SL,False,5M
2026-04-07 13:55:00+00:00,2026-04-07 14:00:00+00:00,SHORT,4643.41,4659.14,4643.41,0.0,BE,False,5M
2026-04-10 09:15:00+00:00,2026-04-10 10:05:00+00:00,LONG,4758.7,4743.38,4743.38,-75.0,SL,False,5M
2026-04-10 10:15:00+00:00,2026-04-10 12:00:00+00:00,LONG,4751.9,4743.38,4768.94,131.25,T2,True,5M
2026-04-14 12:30:00+00:00,2026-04-14 12:50:00+00:00,LONG,4774.94,4764.1,4764.1,-75.0,SL,False,5M
2026-04-16 09:00:00+00:00,2026-04-16 09:05:00+00:00,LONG,4814.97,4813.63,4817.65,131.25,T2,True,5M
2026-04-16 10:50:00+00:00,2026-04-16 10:55:00+00:00,LONG,4810.84,4809.88,4812.76,131.25,T2,True,5M
2026-04-16 12:30:00+00:00,2026-04-16 13:45:00+00:00,LONG,4819.01,4809.88,4809.88,-75.0,SL,False,5M
2026-04-20 11:00:00+00:00,2026-04-20 11:45:00+00:00,SHORT,4790.78,4797.32,4797.32,-75.0,SL,False,5M
2026-04-20 14:10:00+00:00,2026-04-20 14:50:00+00:00,LONG,4816.11,4802.4,4802.4,-75.0,SL,False,5M
2026-04-20 17:30:00+00:00,2026-04-20 18:10:00+00:00,SHORT,4804.99,4814.87,4814.87,-75.0,SL,False,5M
2026-04-21 09:55:00+00:00,2026-04-21 11:40:00+00:00,SHORT,4783.53,4790.73,4790.73,-75.0,SL,False,5M
2026-04-21 12:35:00+00:00,2026-04-21 13:30:00+00:00,SHORT,4780.05,4790.73,4780.05,56.25,BE,True,5M
