tf,setup,setup_name,direction,entry_time,exit_time,entry_price,exit_price,sl,tp,exit_reason,pnl_r,pnl_usd,equity,session
5M,3,Liq-Sweep,SHORT,2024-09-09 14:15:00+00:00,2024-09-09 15:15:00+00:00,2498.09,2493.8599999999997,2500.9100000000003,2492.45,partial-TP,1.5,34.04,4572.38,NY
5M,5,Fib-Reject,SHORT,2024-09-09 17:50:00+00:00,2024-09-09 18:35:00+00:00,2499.97,2502.3325,2502.3325,2495.2449999999994,SL,-1.0,-22.86,4549.52,NY
5M,5,Fib-Reject,LONG,2024-09-10 14:50:00+00:00,2024-09-10 15:15:00+00:00,2508.14,2511.209599999999,2506.0936,2512.2327999999993,partial-TP,1.5,34.12,4583.64,NY
5M,3,Liq-Sweep,LONG,2024-09-16 14:20:00+00:00,2024-09-16 14:30:00+00:00,2580.19,2578.35,2578.35,2583.8700000000003,SL,-1.0,-22.92,4560.72,NY
5M,3,Liq-Sweep,LONG,2024-09-16 14:35:00+00:00,2024-09-16 16:45:00+00:00,2579.4100000000003,2583.1600000000008,2576.91,2584.410000000001,partial-TP,1.5,34.21,4594.93,NY
5M,5,Fib-Reject,SHORT,2024-09-17 13:35:00+00:00,2024-09-17 13:50:00+00:00,2573.73,2578.7617000000005,2578.7617000000005,2563.666599999999,SL,-1.0,-22.97,4571.95,NY
5M,5,Fib-Reject,SHORT,2024-09-18 17:15:00+00:00,2024-09-18 17:25:00+00:00,2571.24,2572.9447,2572.9447,2567.8305999999993,SL,-1.0,-22.86,4549.09,NY
5M,5,Fib-Reject,SHORT,2024-09-18 17:35:00+00:00,2024-09-18 17:50:00+00:00,2571.6600000000003,2569.7329500000005,2572.9447,2569.090600000001,partial-TP,1.5,34.12,4583.21,NY
5M,3,Liq-Sweep,LONG,2024-09-18 18:00:00+00:00,2024-09-18 18:30:00+00:00,2580.45,2599.395,2567.8199999999997,2605.71,partial-TP,1.5,34.37,4617.59,NY
5M,5,Fib-Reject,LONG,2024-09-20 13:15:00+00:00,2024-09-20 13:30:00+00:00,2611.92,2606.1826,2606.1826,2623.3948,SL,-1.0,-23.09,4594.5,NY
5M,2,Zone-Pyramid,LONG,2024-09-20 13:55:00+00:00,2024-09-20 14:00:00+00:00,2607.06,2606.52,2606.52,2608.14,SL,-1.0,-68.92,4525.58,NY
5M,5,Fib-Reject,LONG,2024-09-25 15:05:00+00:00,2024-09-25 16:10:00+00:00,2658.45,2655.3292,2655.3292,2664.691599999999,SL,-1.0,-22.63,4502.95,NY
5M,3,Liq-Sweep,LONG,2024-09-25 17:15:00+00:00,2024-09-25 17:20:00+00:00,2655.9100000000003,2655.9100000000003,2654.35,2659.030000000001,SL,-0.0,-0.0,4502.95,NY
5M,3,Liq-Sweep,LONG,2024-09-26 13:50:00+00:00,2024-09-26 14:15:00+00:00,2659.82,2666.6600000000008,2655.2599999999998,2668.940000000001,partial-TP,1.5,33.77,4536.72,NY
5M,5,Fib-Reject,LONG,2024-09-26 16:40:00+00:00,2024-09-26 18:15:00+00:00,2668.48,2673.394150000001,2665.2038999999995,2675.032200000001,partial-TP,1.5,34.03,4570.75,NY
5M,2,Zone-Pyramid,SHORT,2024-09-30 16:00:00+00:00,2024-09-30 16:15:00+00:00,2633.62,2636.1000000000004,2636.1000000000004,2628.659999999999,SL,-1.0,-68.56,4502.19,NY
5M,5,Fib-Reject,LONG,2024-10-01 13:15:00+00:00,2024-10-01 13:30:00+00:00,2651.18,2654.651,2648.866,2655.8079999999995,partial-TP,1.5,33.77,4535.96,NY
5M,5,Fib-Reject,LONG,2024-10-01 15:10:00+00:00,2024-10-01 16:35:00+00:00,2660.12,2670.9348499999996,2652.9101,2674.5397999999996,partial-TP,1.5,34.02,4569.98,NY
5M,2,Zone-Pyramid,LONG,2024-10-01 17:40:00+00:00,2024-10-01 17:45:00+00:00,2665.02,2663.6299999999997,2663.6299999999997,2667.8000000000006,SL,-1.0,-68.55,4501.43,NY
5M,5,Fib-Reject,SHORT,2024-10-02 16:05:00+00:00,2024-10-02 19:40:00+00:00,2650.51,2657.9612,2657.9612,2635.6076000000003,SL,-1.0,-22.51,4478.92,NY
30M,5,Fib-Reject,SHORT,2025-11-18 15:30:00+00:00,2025-11-18 17:30:00+00:00,4053.2,4075.4155,4075.4155,4008.7689999999993,SL,-1.0,-25.0,4975.0,NY
30M,5,Fib-Reject,SHORT,2025-11-20 15:30:00+00:00,2025-11-21 06:00:00+00:00,4070.355,4032.7610999999997,4095.4176,4020.2297999999996,partial-TP,1.5,37.31,5012.31,NY
30M,5,Fib-Reject,LONG,2025-11-26 15:00:00+00:00,2025-11-27 23:00:00+00:00,4156.715,4162.885,4123.09775,4223.949500000001,time-stop,0.184,4.6,5016.91,NY
15M,5,Fib-Reject,SHORT,2025-12-02 15:00:00+00:00,2025-12-02 15:15:00+00:00,4206.09,4189.86615,4216.905900000001,4184.458199999999,partial-TP,1.5,37.5,5037.5,NY
30M,5,Fib-Reject,SHORT,2025-12-03 16:30:00+00:00,2025-12-05 00:30:00+00:00,4200.895,4201.785,4221.8868,4158.911400000001,time-stop,-0.042,-1.06,5015.85,NY
15M,5,Fib-Reject,SHORT,2025-12-03 16:45:00+00:00,2025-12-04 08:45:00+00:00,4200.895,4185.0,4221.8868,4158.911400000001,time-stop,0.757,19.07,5056.57,NY
15M,3,Liq-Sweep,LONG,2025-12-05 17:15:00+00:00,2025-12-05 17:30:00+00:00,4217.045,4213.12,4213.12,4224.895,SL,-1.0,-25.28,5031.29,NY
15M,3,Liq-Sweep,LONG,2025-12-05 18:00:00+00:00,2025-12-05 18:15:00+00:00,4217.915,4214.88,4214.88,4223.985,SL,-1.0,-25.16,5006.13,NY
15M,5,Fib-Reject,SHORT,2025-12-08 14:30:00+00:00,2025-12-09 03:15:00+00:00,4198.2,4198.2,4215.13735,4164.3252999999995,SL,-0.0,-0.0,5006.13,NY
15M,5,Fib-Reject,SHORT,2025-12-10 14:15:00+00:00,2025-12-10 19:00:00+00:00,4196.72,4209.0694,4209.0694,4172.0212,SL,-1.0,-25.03,4981.1,NY
30M,2,Zone-Pyramid,LONG,2025-12-10 16:30:00+00:00,2025-12-10 19:30:00+00:00,4204.975,4189.455,4189.455,4236.015000000001,SL,-1.0,-75.24,4940.61,NY
15M,5,Fib-Reject,LONG,2025-12-11 13:30:00+00:00,2025-12-11 14:00:00+00:00,4219.795,4219.795,4213.6428,4232.099400000001,SL,-0.0,-0.0,4981.1,NY
15M,5,Fib-Reject,LONG,2025-12-12 18:00:00+00:00,2025-12-15 02:30:00+00:00,4301.2,4326.44185,4284.3721,4334.8558,partial-TP,1.5,37.36,5018.46,NY
15M,5,Fib-Reject,LONG,2025-12-15 15:30:00+00:00,2025-12-15 16:00:00+00:00,4323.75,4301.244849999999,4301.244849999999,4368.760300000002,SL,-1.0,-25.09,4993.37,NY
30M,5,Fib-Reject,LONG,2025-12-15 17:00:00+00:00,2025-12-16 05:30:00+00:00,4302.15,4276.7571,4276.7571,4352.935799999999,SL,-1.0,-24.7,4915.91,NY
15M,5,Fib-Reject,SHORT,2025-12-16 16:30:00+00:00,2025-12-16 17:00:00+00:00,4294.895,4308.8135,4308.8135,4267.058000000001,SL,-1.0,-24.97,4968.4,NY
15M,2,Zone-Pyramid,LONG,2025-12-18 14:45:00+00:00,2025-12-18 16:00:00+00:00,4328.625,4354.92,4311.095,4363.6849999999995,partial-TP,1.5,111.79,5080.19,NY
15M,2,Zone-Pyramid,LONG,2025-12-18 17:30:00+00:00,2025-12-19 01:15:00+00:00,4337.455,4311.599999999999,4311.599999999999,4389.165000000001,SL,-1.0,-76.2,5003.99,NY
15M,2,Zone-Pyramid,SHORT,2025-12-30 14:30:00+00:00,2025-12-31 01:45:00+00:00,4371.33,4371.33,4405.785,4302.42,SL,-0.0,-0.0,5003.99,NY
15M,3,Liq-Sweep,SHORT,2025-12-31 14:15:00+00:00,2025-12-31 14:30:00+00:00,4337.17,4345.015,4345.015,4321.48,SL,-1.0,-25.02,4978.97,NY
30M,5,Fib-Reject,SHORT,2025-12-31 16:00:00+00:00,2026-01-02 00:00:00+00:00,4325.565,4352.73135,4352.73135,4271.232299999999,SL,-1.0,-24.58,4891.33,NY
30M,5,Fib-Reject,SHORT,2026-01-02 16:00:00+00:00,2026-01-04 23:00:00+00:00,4321.885,4343.247,4343.247,4279.161,SL,-1.0,-24.46,4866.87,NY
15M,5,Fib-Reject,LONG,2026-01-07 16:15:00+00:00,2026-01-07 16:30:00+00:00,4457.95,4457.95,4448.4153,4477.0194,SL,-0.0,-0.0,4978.97,NY
15M,2,Zone-Pyramid,SHORT,2026-01-08 13:45:00+00:00,2026-01-08 14:45:00+00:00,4423.835,4438.8550000000005,4438.8550000000005,4393.794999999999,SL,-1.0,-74.68,4904.28,NY
15M,5,Fib-Reject,LONG,2026-01-09 18:00:00+00:00,2026-01-11 23:00:00+00:00,4492.955,4525.690774999999,4471.13115,4536.6026999999995,partial-TP,1.5,36.78,4941.06,NY
