entry_time,direction,entry,sl,dist,touches,htf_dist,fresh,outcome,t1_hit,pnl_usd
2025-04-07 16:00:00+00:00,SHORT,2981.6,2997.66,16.06,2,31.76,True,BE,True,56.25
2025-04-07 16:35:00+00:00,SHORT,2981.25,2997.66,16.41,4,24.0,False,SL,False,-75.0
2025-05-02 14:10:00+00:00,LONG,3250.7,3246.76,3.94,4,7.63,True,T2,True,131.25
2025-05-02 17:35:00+00:00,SHORT,3230.26,3235.15,4.89,3,6.46,True,SL,False,-75.0
2025-05-08 14:40:00+00:00,LONG,3361.2,3350.81,10.39,2,3.74,True,SL,False,-75.0
2025-05-14 17:25:00+00:00,SHORT,3184.47,3196.02,11.55,2,6.41,True,T2,True,131.25
2025-07-01 13:25:00+00:00,LONG,3349.72,3348.96,0.76,2,2.23,True,SL,False,-75.0
2025-07-01 13:45:00+00:00,LONG,3349.76,3348.96,0.8,3,1.9,False,SL,False,-75.0
2025-07-01 13:50:00+00:00,LONG,3349.6,3348.96,0.64,3,1.83,False,BE,True,56.25
2025-07-01 13:55:00+00:00,LONG,3351.79,3348.96,2.83,3,1.76,False,SL,False,-75.0
2025-07-02 14:40:00+00:00,LONG,3340.13,3338.55,1.58,2,1.66,True,SL,False,-75.0
2025-07-02 14:50:00+00:00,LONG,3341.99,3338.55,3.44,2,1.54,False,T2,True,131.25
2025-07-02 16:00:00+00:00,LONG,3343.48,3338.55,4.93,3,7.13,False,T2,True,131.25
2025-07-25 14:05:00+00:00,SHORT,3341.79,3345.43,3.64,2,10.67,True,T2,True,131.25
2025-08-01 13:40:00+00:00,LONG,3348.27,3336.56,11.71,2,19.19,True,SL,False,-75.0
2025-08-01 14:45:00+00:00,LONG,3347.5,3336.56,10.94,3,13.63,False,BE,True,56.25
2025-08-01 15:05:00+00:00,LONG,3348.14,3336.56,11.58,3,15.03,False,SL,False,-75.0
2025-08-01 16:50:00+00:00,LONG,3345.12,3336.56,8.56,4,5.66,False,T2,True,131.25
2025-08-01 16:55:00+00:00,LONG,3347.24,3336.56,10.68,4,5.44,False,BE,True,56.25
2025-08-07 17:35:00+00:00,LONG,3389.45,3385.26,4.19,2,3.9,True,T2,True,131.25
2025-08-08 14:05:00+00:00,SHORT,3389.02,3398.94,9.92,2,3.05,True,SL,False,-75.0
2025-08-08 15:00:00+00:00,LONG,3392.19,3387.75,4.44,3,1.78,True,BE,True,56.25
2025-08-08 17:30:00+00:00,SHORT,3396.61,3398.94,2.33,2,5.65,False,T2,True,131.25
2025-08-08 17:35:00+00:00,SHORT,3396.37,3398.94,2.57,2,5.43,False,T2,True,131.25
2025-08-08 17:55:00+00:00,SHORT,3387.7,3398.94,11.24,2,4.63,False,SL,False,-75.0
2025-08-14 13:20:00+00:00,SHORT,3346.36,3356.46,10.1,3,7.19,True,BE,True,56.25
2025-08-15 14:15:00+00:00,LONG,3341.41,3337.85,3.56,3,1.96,True,SL,False,-75.0
2025-08-15 14:30:00+00:00,LONG,3341.16,3337.85,3.31,4,1.74,False,SL,False,-75.0
2025-08-15 14:35:00+00:00,LONG,3341.72,3337.85,3.87,4,1.67,False,SL,False,-75.0
2025-08-18 15:50:00+00:00,SHORT,3334.54,3338.61,4.07,3,2.41,True,BE,True,56.25
2025-08-21 16:10:00+00:00,SHORT,3341.78,3342.95,1.17,6,1.67,True,T2,True,131.25
2025-08-25 13:30:00+00:00,LONG,3365.97,3363.77,2.2,2,3.05,True,T2,True,131.25
2025-09-01 13:00:00+00:00,LONG,3471.35,3461.67,9.68,7,4.39,True,T2,True,131.25
2025-09-10 13:00:00+00:00,LONG,3646.32,3645.46,0.86,2,3.24,True,SL,True,-18.75
2025-09-10 13:05:00+00:00,LONG,3647.13,3645.46,1.67,2,3.11,False,SL,False,-75.0
2025-09-12 13:00:00+00:00,LONG,3646.9,3638.68,8.22,6,3.15,True,SL,False,-75.0
2025-09-16 13:20:00+00:00,LONG,3691.34,3690.36,0.98,3,2.58,True,T2,True,131.25
2025-09-16 13:25:00+00:00,LONG,3694.21,3690.36,3.85,3,2.48,False,T2,True,131.25
2025-09-16 16:10:00+00:00,LONG,3687.16,3685.01,2.15,3,0.58,True,BE,True,56.25
2025-09-16 16:15:00+00:00,LONG,3688.69,3685.01,3.68,3,0.56,False,BE,True,56.25
